index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region,average
87487,2013,Nov,260008,-,269.5,-,597.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,433.55
96179,2013,Dec,260001,-,-,-,397.8,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,397.8
96180,2013,Dec,260002,-,151.6,316.1,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,233.85
96181,2013,Dec,260003,-,229.9,375.6,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,302.75
96184,2013,Dec,260008,-,281.6,-,611.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,446.7
104887,2014,Jan,260001,-,-,-,425.2,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,425.2
104888,2014,Jan,260002,-,201.8,344.6,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,273.2
104889,2014,Jan,260003,-,237.9,420.3,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,329.1
104892,2014,Jan,260008,-,235.2,-,284.2,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,259.7
113612,2014,Feb,260001,-,-,-,340.3,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,340.3
113613,2014,Feb,260002,-,142.5,272.1,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,207.3
113614,2014,Feb,260003,-,204.1,314.8,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,259.45
113617,2014,Feb,260008,-,269.9,-,447.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,358.85
122347,2014,Mar,260001,-,-,-,367.8,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,367.8
122348,2014,Mar,260002,-,172,304.4,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,238.2
122349,2014,Mar,260003,-,234.4,364,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,299.2
122352,2014,Mar,260008,-,261.5,-,749.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,505.65
131102,2014,Apr,260001,-,-,-,466.1,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,466.1
131103,2014,Apr,260002,-,235.3,405.4,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,320.35
131104,2014,Apr,260003,-,271.1,444.7,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,357.9
131107,2014,Apr,260008,-,252.2,-,569.4,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,410.8
139916,2014,May,260001,-,-,-,415.3,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,415.3
139917,2014,May,260002,-,200.3,350,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,275.15
139918,2014,May,260003,-,246.6,403.8,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,325.2
139921,2014,May,260008,-,333.4,-,550.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,442.0
148758,2014,Jun,260001,-,-,-,525.8,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,525.8
148759,2014,Jun,260002,-,232,416.5,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,324.25
148760,2014,Jun,260003,-,300.6,489.5,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,395.05
148763,2014,Jun,260008,-,300.8,-,588.4,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,444.6
157579,2014,Jul,260001,-,-,-,462.8,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,462.8
157580,2014,Jul,260002,-,212.7,369.9,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,291.3
157581,2014,Jul,260003,-,264.1,437.6,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,350.85
157584,2014,Jul,260008,-,320.4,-,481.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,401.0
166408,2014,Aug,260001,-,-,-,461.9,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,461.9
166409,2014,Aug,260002,-,230.8,354.6,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,292.7
166410,2014,Aug,260003,-,285.8,433,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,359.4
166413,2014,Aug,260008,-,314,-,544,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,429.0
175230,2014,Sep,260001,-,-,-,517.1,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,517.1
175231,2014,Sep,260002,-,248.2,407.7,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,327.95
175232,2014,Sep,260003,-,317.1,468.7,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,392.9
175235,2014,Sep,260008,-,301.8,-,473.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,387.7
184073,2014,Oct,260001,-,-,-,401.6,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,401.6
184074,2014,Oct,260002,-,181.1,348.9,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,265.0
184075,2014,Oct,260003,-,269,364.7,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,316.85
184078,2014,Oct,260008,-,304.3,-,517,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,410.65
192923,2014,Nov,260001,-,-,-,446.5,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,446.5
192924,2014,Nov,260002,-,200.9,379.6,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,290.25
192925,2014,Nov,260003,-,288.5,410.9,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,349.7
192928,2014,Nov,260008,-,323.9,-,482.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,403.35
201799,2014,Dec,260001,-,-,-,380.9,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,380.9
201800,2014,Dec,260002,-,197.4,343.2,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,270.3
201801,2014,Dec,260003,-,272.3,418.1,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,345.2
201804,2014,Dec,260008,-,320.9,-,513,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,416.95
210665,2015,Jan,260001,-,-,-,441.8,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,441.8
210666,2015,Jan,260002,-,223,388,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,305.5
210667,2015,Jan,260003,-,289.8,449.6,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,369.7
210670,2015,Jan,260008,-,230.7,-,408,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,319.35
219561,2015,Feb,260001,-,-,-,352.6,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,352.6
219562,2015,Feb,260002,-,171.6,277.9,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,224.75
219563,2015,Feb,260003,-,203.3,301.4,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,252.35
219566,2015,Feb,260008,-,270.2,-,460.4,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,365.3
228443,2015,Mar,260001,-,-,-,352.9,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,352.9
228444,2015,Mar,260002,-,159.4,296.9,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,228.15
228445,2015,Mar,260003,-,219,330.2,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,274.6
228448,2015,Mar,260008,-,248.2,-,397.2,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,322.7
237331,2015,Apr,260001,-,-,-,435.3,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,435.3
237332,2015,Apr,260002,-,203.1,448.1,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,325.6
237333,2015,Apr,260003,-,303.5,482.3,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,392.9
